window,optimal_d,sparsity_ppmi,corr_ppmi,drift_ppmi,sci_ppmi,corr_svd,drift_svd,sci_svd
1,186,1.549181513697618e-05,0.5397038942942944,0.0,0.7010489436238797,0.5258536460395047,0.0,0.6892583012851945
2,181,2.939401065418706e-05,0.5641666789942009,0.2402597608789559,0.6475079505036146,0.571619430347076,0.37959620530827953,0.5950133458101093
5,160,5.966598689462331e-05,0.591875173885248,0.2104861804861805,0.6765561785166946,0.6113962063250605,0.32114272294612856,0.6433631362729708
7,152,7.317785479347657e-05,0.6065594952412022,0.06363636363636363,0.736213286327741,0.6157041376415667,0.15153846153846154,0.7135821968602295
10,147,8.779172432066741e-05,0.6167323291551045,0.0412121212121212,0.7506288763157897,0.6189614537211433,0.10277472527472525,0.7325586617267823
12,143,9.487252676199907e-05,0.6195920596394856,0.018181818181818174,0.7597388023577257,0.6154011342485791,0.07613053613053611,0.7387269225541252
15,141,0.00010266838922393344,0.624239043983427,0.028181818181818176,0.7601818317500613,0.6151213910190223,0.06673659673659672,0.7415085512623819
17,141,0.00010643560571222092,0.6256847586338662,0.012727272727272724,0.7659488901187412,0.6137838730618025,0.012727272727272724,0.7569652168288485
20,140,0.0001104752687056816,0.6266602741729308,0.016363636363636358,0.7655804761058298,0.6163724543560485,0.036969696969696965,0.7516579906195958
